Nr,P1,P2,P3,P4
380,673,376,451,663
381,673,517,382,518
382,256,415,498,647
383,43,429,383,476
384,34,640,498,477
385,941,446,468,572
386,602,635,412,737
387,168,559,429,577
388,827,432,450,442
389,242,370,436,669
390,85,498,470,668
391,570,440,481,699
392,200,462,401,579
393,359,489,392,646
394,408,416,493,437
395,567,473,459,687
396,458,466,436,581
397,738,572,442,399
398,128,348,440,443
399,285,544,496,406
400,714,548,468,704
401,518,392,485,534
402,282,390,462,656
403,268,642,409,577
404,580,379,466,691
405,689,585,488,589
406,242,494,482,527
407,488,450,437,557
408,410,535,420,451
409,535,395,462,427
410,635,425,487,412
411,62,555,462,432
412,458,534,455,654
413,304,409,499,603
414,536,462,480,570
415,950,534,464,510
416,438,502,437,684
417,475,475,417,438
418,306,521,473,439
419,931,436,449,602
420,434,432,461,664
421,844,349,450,525
422,382,498,446,645
423,166,498,432,529
424,777,526,467,672
425,108,519,492,442
426,27,594,431,450
427,758,411,461,723
428,508,455,461,593
429,574,493,437,726
430,602,505,456,664
431,813,577,460,610
432,317,639,448,591
433,127,571,437,564
434,126,532,447,630
435,622,436,449,554
436,371,488,436,567
437,602,547,489,565
438,37,538,490,510
439,777,448,446,490
440,310,485,481,517
441,262,491,470,649
442,836,548,483,510
443,212,457,462,498
444,772,466,453,664
445,189,556,482,539
446,985,479,453,670
447,388,466,483,646
448,204,459,470,562
449,980,279,450,483
450,789,539,481,570
451,107,554,463,519
452,400,597,482,508
453,330,568,452,726
454,216,693,470,571
455,736,466,457,599
456,161,521,465,709
457,719,560,489,498
458,551,409,464,683
459,913,364,497,606
460,675,420,474,654
461,683,367,489,527
462,553,549,479,595
463,204,645,471,625
464,796,597,499,683
465,838,492,469,515
466,300,504,494,468
467,527,525,499,562
468,120,437,480,487
469,156,594,477,474
470,230,485,476,750
471,587,641,500,563
472,908,582,482,492
473,737,606,486,494
474,980,524,492,677
475,26,525,479,702
476,216,468,477,697
477,725,450,500,662
478,497,630,479,603
479,436,475,491,596
480,250,600,487,529
481,822,442,486,576
482,549,463,487,635
483,933,480,497,491
484,906,410,500,658
485,292,506,495,673
486,215,425,485,529
487,496,482,495,526
488,617,532,489,749
489,272,464,494,684
490,148,505,490,490
491,862,546,494,688
492,157,504,495,617
493,651,478,500,501
494,384,439,498,678
495,376,534,494,506
496,793,553,496,611
497,794,591,498,714
498,304,396,497,690
499,806,363,498,499
500,232,394,499,612
501,891,542,13,626
502,850,534,331,726
503,828,527,313,636
504,136,508,211,703
505,798,508,363,732
506,510,594,291,717
507,559,394,167,604
508,598,425,205,620
509,775,664,66,565
510,656,412,323,661
511,254,609,472,604
512,841,519,468,547
513,701,391,356,745
514,771,451,433,634
515,38,482,104,578
516,613,636,212,554
517,944,434,406,678
518,754,510,455,744
519,338,587,361,574
520,159,431,445,710
521,286,545,467,724
522,983,421,213,633
523,498,503,255,536
524,420,638,271,663
525,986,591,248,675
526,65,472,237,612
527,911,450,395,695
528,120,576,113,722
529,318,500,100,545
530,220,538,44,713
531,898,474,107,598
532,685,545,395,634
533,704,431,404,644
534,87,483,199,650
535,449,425,230,742
536,531,382,304,665
537,848,715,324,745
538,294,449,446,700
539,932,558,185,627
540,117,481,168,613
541,136,510,316,606
542,554,509,438,642
543,813,502,411,725
544,294,492,423,721
545,909,479,482,624
546,178,551,265,609
547,458,590,229,721
548,906,474,59,686
549,154,619,228,723
550,836,503,103,560
551,129,526,71,649
552,320,334,451,687
553,535,483,157,621
554,139,452,218,560
555,348,518,84,673
556,503,545,134,598
557,705,498,114,677
558,79,427,166,685
559,917,577,277,688
560,591,484,97,636
561,295,512,436,608
562,686,600,394,701
563,2,554,212,733
564,395,544,72,743
565,5,545,487,747
566,294,500,224,742
567,868,374,111,684
568,131,449,360,631
569,797,581,184,612
570,668,522,139,610
571,38,518,172,699
572,793,430,481,621
573,260,465,165,680
574,868,551,312,740
575,882,542,94,745
576,942,604,165,691
577,831,564,360,602
578,130,469,86,638
579,901,471,484,639
580,387,522,165,647
581,728,506,355,681
582,229,549,93,685
583,254,581,468,651
584,181,466,320,588
585,109,496,122,660
586,776,533,388,735
587,407,500,199,627
588,575,534,156,681
589,188,627,437,704
590,625,386,449,608
591,133,554,176,720
592,113,556,354,626
593,795,603,368,616
594,125,386,340,637
595,466,572,401,725
596,835,567,315,689
597,127,464,216,611
598,248,602,192,602
599,641,518,432,607
600,627,518,105,712
601,247,379,475,655
602,721,369,392,703
603,494,421,485,743
604,146,531,360,670
605,225,471,280,739
606,176,521,425,649
607,264,440,482,725
608,349,499,150,617
609,689,392,241,636
610,981,399,361,692
611,266,518,389,646
612,618,464,348,647
613,939,666,450,639
614,848,411,453,730
615,419,564,280,670
616,643,518,353,636
617,731,585,320,629
618,548,433,259,688
619,216,557,149,700
620,740,500,240,742
621,265,485,218,689
622,55,394,277,750
623,296,401,302,640
624,20,525,224,666
625,946,587,490,718
626,222,393,222,686
627,430,408,402,681
628,903,495,235,637
629,980,561,474,694
630,661,443,466,641
631,384,454,308,747
632,761,595,194,711
633,929,522,463,666
634,839,560,340,692
635,845,423,409,669
636,126,615,465,745
637,952,506,143,667
638,532,423,488,654
639,281,637,167,675
640,768,553,254,684
641,550,527,427,673
642,680,357,437,661
643,408,582,156,699
644,114,495,359,727
645,312,517,363,733
646,390,568,436,666
647,696,570,455,682
648,952,606,499,662
649,317,543,440,748
650,270,477,291,685
651,190,625,500,694
652,91,433,159,714
653,566,417,294,660
654,578,447,248,729
655,748,507,287,743
656,662,545,206,735
657,66,490,478,683
658,652,500,428,737
659,717,581,171,703
660,43,521,222,705
661,961,488,397,748
662,936,460,439,733
663,949,480,231,702
664,976,436,165,724
665,399,536,329,674
666,494,548,323,708
667,20,660,193,703
668,297,378,217,705
669,678,656,430,681
670,284,514,448,715
671,507,540,293,748
672,854,514,325,723
673,576,483,432,732
674,623,569,359,699
675,154,431,240,702
676,586,603,453,683
677,655,396,217,723
678,217,526,237,737
679,822,534,322,685
680,472,515,195,682
681,792,626,409,692
682,831,515,322,750
683,197,538,499,693
684,20,535,483,713
685,113,498,412,733
686,202,446,354,686
687,294,506,443,697
688,240,532,327,714
689,34,540,297,727
690,57,576,190,740
691,978,375,301,729
692,608,522,457,695
693,109,565,394,740
694,177,453,291,708
695,844,362,262,707
696,315,614,490,748
697,966,542,329,713
698,283,662,351,737
699,36,496,419,739
700,265,472,349,711
701,673,537,439,707
702,148,506,248,729
703,760,529,357,749
704,626,511,312,735
705,521,567,468,724
706,755,542,470,722
707,572,331,209,720
708,436,604,267,717
709,340,414,492,709
710,490,519,499,723
711,746,361,256,735
712,713,560,483,724
713,150,435,442,744
714,359,412,253,740
715,389,457,423,742
716,767,586,475,722
717,166,461,275,731
718,931,463,355,728
719,318,515,480,731
720,895,353,435,724
721,919,502,388,745
722,274,416,241,734
723,76,522,248,725
724,482,524,402,724
725,515,576,462,729
726,448,548,303,734
727,910,430,465,732
728,572,480,385,733
729,890,680,338,729
730,219,545,400,741
731,949,349,254,749
732,360,383,445,738
733,209,485,405,743
734,530,529,296,746
735,328,496,385,745
736,680,575,393,743
737,486,410,395,747
738,923,539,387,739
739,487,422,426,743
740,496,400,446,746
741,839,306,486,744
742,552,558,423,749
743,427,459,243,743
744,602,561,312,748
745,773,573,308,746
746,637,575,499,750
747,280,457,496,750
748,234,557,276,749
749,318,464,488,749
750,213,488,367,559
751,138,576,465,488
752,43,545,467,345
753,853,486,476,731
754,812,540,337,270
755,737,636,346,321
756,946,329,458,539
757,976,429,354,95
758,280,457,257,346
759,237,416,477,333
760,688,467,319,159
761,813,476,455,622
762,272,475,412,589
763,62,578,446,335
764,565,398,487,144
765,784,575,281,582
766,93,467,489,153
767,463,514,445,114
768,650,366,343,723
769,918,630,439,360
770,480,654,283,241
771,245,567,301,649
772,27,504,365,741
773,503,517,329,576
774,563,481,321,151
775,882,519,359,149
776,8,410,499,488
777,990,486,447,262
778,766,570,360,344
779,74,500,364,193
780,32,645,401,218
781,836,650,458,59
782,633,535,488,281
783,621,351,449,589
784,962,525,416,334
785,161,586,463,226
786,581,456,386,95
787,434,549,351,672
788,799,427,314,193
789,903,540,432,149
790,433,413,355,209
791,344,439,297,683
792,405,612,349,125
793,454,450,481,398
794,154,608,351,311
795,377,524,377,546
796,700,414,384,142
797,587,619,461,202
798,583,551,486,647
799,110,492,441,99
800,919,494,385,595
801,862,427,310,113
802,138,525,461,604
803,731,382,312,598
804,956,425,331,275
805,593,507,477,288
806,384,432,333,317
807,486,421,453,179
808,517,416,417,284
809,891,456,445,438
810,85,481,464,61
811,246,423,377,75
812,794,469,439,350
813,263,495,387,459
814,864,597,463,704
815,39,485,314,661
816,632,480,352,241
817,734,516,322,301
818,867,454,458,331
819,532,567,411,550
820,722,501,399,607
821,481,492,490,738
822,902,407,499,612
823,596,519,453,153
824,160,630,345,452
825,542,571,335,258
826,368,521,458,160
827,299,450,454,284
828,847,636,359,504
829,222,531,441,183
830,896,424,496,574
831,897,510,442,708
832,583,530,464,364
833,462,562,351,88
834,65,508,438,268
835,640,478,478,210
836,375,489,370,196
837,568,554,382,348
838,709,604,392,381
839,516,535,439,417
840,459,578,396,358
841,392,468,440,317
842,330,479,429,306
843,371,471,388,738
844,726,642,399,137
845,255,640,392,400
846,859,524,492,203
847,182,462,447,147
848,818,516,442,168
849,655,454,391,667
850,562,470,469,128
851,680,508,483,602
852,902,545,478,686
853,73,532,363,406
854,177,618,407,124
855,882,513,395,453
856,240,430,494,448
857,8,512,409,207
858,489,544,403,547
859,591,619,494,352
860,37,385,438,315
861,673,560,481,346
862,403,478,472,568
863,367,416,388,311
864,660,372,489,538
865,708,488,424,519
866,244,518,437,638
867,985,526,428,326
868,280,440,382,251
869,610,416,405,215
870,451,466,448,334
871,951,466,453,164
872,176,630,404,131
873,548,457,479,623
874,51,521,415,380
875,200,548,381,357
876,414,480,379,176
877,680,427,448,575
878,298,436,392,663
879,719,504,408,492
880,408,352,421,155
881,75,508,462,366
882,640,441,406,630
883,451,455,454,487
884,892,467,484,371
885,879,392,457,686
886,751,525,413,308
887,533,579,394,404
888,178,349,430,625
889,422,628,434,524
890,711,557,411,672
891,577,508,419,376
892,178,477,467,492
893,529,408,466,295
894,521,529,493,408
895,464,510,397,475
896,556,668,475,259
897,446,557,485,682
898,73,412,463,397
899,871,406,438,278
900,565,570,498,175
901,412,486,421,497
902,373,417,474,293
903,519,517,406,603
904,553,412,463,557
905,116,602,446,746
906,281,519,445,465
907,995,498,470,366
908,881,354,425,317
909,963,365,444,271
910,288,437,497,485
911,804,463,476,674
912,2,481,441,345
913,342,404,427,362
914,885,547,494,517
915,235,407,450,361
916,738,478,489,665
917,842,510,422,425
918,880,441,499,268
919,500,463,430,713
920,403,503,462,420
921,681,500,448,468
922,631,579,482,284
923,598,393,480,222
924,232,489,426,306
925,448,564,442,236
926,530,513,496,473
927,272,548,438,538
928,773,654,487,434
929,618,476,437,678
930,218,508,460,636
931,507,621,445,405
932,266,510,442,301
933,208,510,455,467
934,977,487,486,188
935,996,533,460,203
936,788,503,460,461
937,369,548,469,483
938,445,530,496,379
939,101,493,455,516
940,891,576,500,599
941,679,586,445,479
942,304,404,460,357
943,943,488,484,314
944,745,418,454,680
945,374,420,463,471
946,870,424,464,205
947,378,593,452,441
948,341,504,498,400
949,805,600,468,714
950,590,544,497,621
951,772,580,450,399
952,138,491,464,573
953,948,619,463,267
954,295,449,500,539
955,713,518,470,615
956,653,537,465,503
957,882,398,483,585
958,651,488,496,735
959,993,584,467,385
960,873,418,477,664
961,773,548,494,683
962,713,474,469,522
963,478,557,468,747
964,54,441,470,490
965,54,286,483,741
966,629,449,484,741
967,755,659,479,724
968,419,526,484,531
969,159,582,483,365
970,529,357,478,419
971,781,529,478,256
972,504,475,476,463
973,397,508,482,369
974,389,424,497,611
975,98,502,474,469
976,419,495,493,305
977,283,383,483,470
978,180,550,479,750
979,578,498,486,275
980,77,443,496,411
981,921,672,496,656
982,939,479,481,701
983,51,520,493,635
984,554,558,497,746
985,843,556,494,568
986,482,466,485,538
987,657,443,490,568
988,62,347,487,473
989,44,407,490,257
990,359,551,500,697
991,190,481,490,520
992,689,608,495,276
993,811,524,496,515
994,317,461,499,515
995,253,512,494,251
996,978,391,499,524
997,362,510,496,711
998,953,479,498,717
999,558,619,498,402
1000,597,467,500,673
1001,230,397,437,462
1002,494,494,92,552
1003,291,589,425,379
1004,886,580,214,348
1005,778,337,334,475
1006,599,510,441,454
1007,52,524,116,262
1008,775,576,223,279
1009,258,471,51,524
1010,897,511,410,669
1011,522,453,350,362
1012,666,464,42,635
1013,308,688,395,466
1014,523,415,361,680
1015,675,456,408,666
1016,164,463,176,453
1017,878,617,101,668
1018,250,525,135,432
1019,42,495,396,625
1020,178,527,333,294
1021,127,402,166,490
1022,964,256,296,462
1023,268,450,308,748
1024,789,420,41,652
1025,985,514,57,434
1026,112,552,384,397
1027,961,555,245,678
1028,459,634,182,514
1029,682,443,84,718
1030,456,510,480,437
1031,612,326,255,325
1032,611,400,391,659
1033,783,455,138,624
1034,939,614,207,459
1035,214,554,364,466
1036,357,545,271,535
1037,917,413,77,303
1038,697,573,177,418
1039,17,424,463,321
1040,122,496,419,378
1041,682,564,62,657
1042,319,500,146,451
1043,782,580,358,570
1044,289,548,362,534
1045,955,391,258,481
1046,233,447,53,373
1047,792,593,360,652
1048,476,522,137,749
1049,144,587,88,676
1050,722,462,151,478
1051,813,574,249,616
1052,4,416,268,428
1053,777,551,479,708
1054,425,536,193,659
1055,211,460,77,315
1056,185,426,332,533
1057,156,545,160,430
1058,360,496,99,722
1059,400,540,467,344
1060,530,535,211,390
1061,733,501,314,505
1062,420,526,81,683
1063,860,638,411,403
1064,664,521,438,707
1065,288,640,188,336
1066,21,524,143,568
1067,32,580,469,363
1068,704,458,150,451
1069,938,518,142,343
1070,107,506,116,589
1071,493,596,384,397
1072,167,450,196,530
1073,517,608,349,503
1074,945,529,312,488
1075,953,428,344,496
1076,957,511,426,401
1077,882,424,91,567
1078,270,478,77,672
1079,780,527,308,699
1080,892,439,117,715
1081,256,542,113,498
1082,126,529,228,479
1083,950,514,417,373
1084,250,555,364,740
1085,809,593,92,537
1086,422,519,345,349
1087,566,396,143,661
1088,294,479,276,628
1089,290,583,358,697
1090,603,502,208,542
1091,311,432,431,555
1092,334,525,303,480
1093,687,559,202,371
1094,26,472,297,374
1095,534,493,420,489
1096,891,513,416,710
1097,549,453,270,387
1098,614,434,474,362
1099,962,420,189,462
1100,735,536,134,407
1101,840,464,181,618
1102,98,397,442,352
1103,383,481,454,728
1104,94,563,405,686
1105,922,520,282,470
1106,698,568,145,562
1107,46,527,185,622
1108,130,445,380,673
1109,546,359,327,655
1110,398,560,245,566
1111,921,387,440,699
1112,855,616,338,461
1113,536,556,148,451
1114,88,377,254,715
1115,425,560,277,706
1116,20,405,230,382
1117,178,473,337,473
1118,681,472,268,515
1119,679,564,412,597
1120,157,352,152,450
1121,210,547,465,490
1122,13,476,394,713
1123,885,479,188,560
1124,864,539,395,443
1125,700,396,346,462
1126,748,393,222,586
1127,948,560,419,483
1128,644,533,219,599
1129,17,597,270,562
1130,730,452,419,433
1131,31,539,283,430
1132,81,397,435,512
1133,591,582,378,612
1134,244,647,309,608
1135,349,510,481,406
1136,910,582,259,452
1137,134,387,273,678
1138,402,468,164,398
1139,128,547,315,520
1140,581,409,465,459
1141,498,535,155,449
1142,454,543,237,557
1143,325,495,339,695
1144,250,539,472,566
1145,452,463,180,624
1146,170,384,258,450
1147,402,555,332,441
1148,737,560,379,743
1149,200,421,310,529
1150,543,428,467,531
1151,181,505,465,608
1152,891,328,215,708
1153,599,512,459,744
1154,1,499,402,673
1155,541,327,403,529
1156,955,481,297,475
1157,695,688,403,410
1158,978,594,270,419
1159,551,612,161,479
1160,6,629,341,672
1161,350,529,203,746
1162,178,428,405,685
1163,407,527,186,604
1164,255,421,329,426
1165,473,450,493,729
1166,109,423,304,702
1167,424,494,430,601
1168,26,599,268,667
1169,593,332,237,738
1170,515,420,413,448
1171,219,540,262,569
1172,520,443,471,512
1173,290,583,398,681
1174,111,435,377,437
1175,103,518,387,523
1176,56,461,182,750
1177,310,502,227,584
1178,660,562,416,453
1179,697,504,438,740
1180,331,529,438,613
1181,21,564,225,488
1182,784,589,195,740
1183,722,532,383,613
1184,410,459,395,575
1185,248,596,320,466
1186,64,595,435,509
1187,931,522,311,536
1188,532,452,262,492
1189,393,597,190,521
1190,918,676,198,716
1191,220,575,314,591
1192,573,466,426,562
1193,233,601,226,450
1194,484,635,469,615
1195,976,466,358,679
1196,957,538,295,578
1197,674,650,326,691
1198,199,534,463,484
1199,873,508,451,534
1200,96,646,286,620
1201,316,394,298,667
1202,100,395,414,526
1203,426,517,370,561
1204,958,452,436,684
1205,633,629,331,511
1206,879,627,298,482
1207,786,498,497,595
1208,239,536,436,733
1209,187,542,415,529
1210,611,510,218,568
1211,476,520,363,709
1212,661,341,323,724
1213,337,398,443,749
1214,689,447,430,750
1215,958,538,380,505
1216,380,458,218,659
1217,556,525,279,673
1218,889,413,247,738
1219,217,457,486,589
1220,98,494,481,608
1221,597,489,409,749
1222,707,441,360,742
1223,811,648,350,638
1224,473,471,285,488
1225,436,516,412,612
1226,53,530,267,748
1227,173,559,247,494
1228,630,540,402,621
1229,139,456,345,697
1230,157,521,349,714
1231,301,570,377,675
1232,102,559,438,545
1233,526,499,427,630
1234,57,491,400,530
1235,340,497,315,652
1236,327,583,282,520
1237,805,347,427,612
1238,372,534,478,540
1239,4,541,307,714
1240,910,464,386,565
1241,126,600,283,609
1242,136,533,281,604
1243,213,436,459,498
1244,204,459,416,644
1245,362,576,421,692
1246,372,487,427,717
1247,786,418,369,527
1248,435,521,465,690
1249,288,463,472,741
1250,708,489,300,638
1251,580,498,454,730
1252,479,549,346,675
1253,722,433,418,742
1254,807,615,367,635
1255,955,399,360,577
1256,644,460,271,674
1257,131,435,442,693
1258,588,539,450,601
1259,63,485,347,512
1260,263,493,497,726
1261,657,530,493,581
1262,211,435,472,729
1263,17,522,296,731
1264,694,404,441,734
1265,525,348,325,579
1266,599,574,485,649
1267,675,359,371,703
1268,347,412,404,676
1269,305,421,400,639
1270,810,486,397,603
1271,404,542,356,543
1272,715,576,273,560
1273,567,497,434,606
1274,940,532,394,674
1275,892,483,356,568
1276,979,558,470,572
1277,48,429,437,571
1278,346,574,342,632
1279,827,558,290,558
1280,637,388,464,735
1281,566,539,363,614
1282,896,451,495,562
1283,990,446,341,685
1284,819,496,293,591
1285,580,526,470,654
1286,638,410,336,645
1287,110,452,445,556
1288,357,489,323,646
1289,453,445,458,733
1290,747,552,426,674
1291,664,624,328,701
1292,453,381,418,719
1293,213,526,362,565
1294,866,446,338,546
1295,639,463,421,708
1296,776,466,449,684
1297,822,410,324,580
1298,978,423,303,632
1299,163,428,340,667
1300,144,467,466,560
1301,763,366,460,647
1302,784,482,310,716
1303,823,506,488,747
1304,493,379,309,638
1305,43,436,375,713
1306,118,517,347,747
1307,463,583,309,668
1308,731,553,435,577
1309,559,563,364,748
1310,346,405,453,630
1311,166,422,329,658
1312,190,588,434,630
1313,130,511,425,708
1314,827,569,483,598
1315,223,483,468,594
1316,821,419,418,688
1317,409,482,395,727
1318,461,530,499,568
1319,851,434,438,734
1320,991,522,373,610
1321,314,560,496,627
1322,69,537,383,641
1323,532,518,385,686
1324,701,371,343,705
1325,577,569,339,658
1326,855,555,336,692
1327,963,499,489,686
1328,341,475,328,722
1329,509,474,447,623
1330,466,620,434,656
1331,689,426,424,633
1332,622,361,467,727
1333,98,573,434,672
1334,260,587,381,621
1335,716,532,351,718
1336,169,308,353,666
1337,113,487,384,645
1338,190,535,386,687
1339,544,499,354,601
1340,362,567,350,640
1341,985,549,408,659
1342,402,476,450,631
1343,331,446,482,657
1344,398,427,411,643
1345,830,544,391,607
1346,977,417,431,689
1347,127,490,481,627
1348,241,593,435,692
1349,158,537,429,620
1350,512,322,386,604
1351,425,545,383,608
1352,57,636,430,670
1353,467,483,440,654
1354,129,564,482,670
1355,587,503,497,749
1356,978,484,415,693
1357,152,410,394,635
1358,331,622,380,630
1359,62,462,436,722
1360,559,549,492,738
