"Business","Sector","Revenue"
213,"Agriculture",6705.79049923118
214,"Finance",3189.53487414351
215,"Health",4049.56129227108
216,"Public",2566.70155129413
217,"Agriculture",5633.81107141725
218,"Finance",4140.39269922558
219,"Health",3454.58030787241
220,"Public",5179.31710487164
221,"Agriculture",5607.42363091632
222,"Finance",1883.62939193555
223,"Health",3727.92869149243
224,"Public",4486.98376683465
225,"Agriculture",5083.64209261023
226,"Finance",4080.72392012929
227,"Health",4902.77399316769
228,"Public",2914.94783219384
229,"Agriculture",6712.26936165822
230,"Finance",3470.28958422916
231,"Health",3144.39617618684
232,"Public",2179.67667565202
233,"Agriculture",7318.66420685163
234,"Finance",4474.16227915441
235,"Health",3650.81648199953
236,"Public",6089.10737995865
237,"Agriculture",6299.46598082235
238,"Finance",4944.87148595792
239,"Health",5253.1105002526
240,"Public",2962.14257728872
241,"Agriculture",6321.358553764
242,"Finance",3843.35346327182
243,"Health",3694.38746924907
244,"Public",2197.58120290701
245,"Agriculture",6285.92391850316
246,"Finance",2438.48026326402
247,"Health",4549.7800780496
248,"Public",3225.31427393724
249,"Agriculture",4195.42582983267
250,"Finance",3777.97346851157
251,"Health",3469.76262456743
252,"Public",4189.57521514957
253,"Agriculture",8404.35437624125
254,"Finance",5928.55445747941
255,"Health",1791.29628241052
256,"Public",3732.92561626863
257,"Agriculture",5188.24982836033
258,"Finance",4471.43433724454
259,"Health",2279.55311640362
260,"Public",3561.14676536929
261,"Agriculture",7233.82799814449
262,"Finance",5081.0187071651
263,"Health",2655.74887302881
264,"Public",3943.99531766158
265,"Agriculture",6056.18534420155
266,"Finance",4386.55423073438
267,"Health",1910.24511786208
268,"Public",4650.21182661474
269,"Agriculture",4394.77315390767
270,"Finance",2588.30658907752
271,"Health",4630.16704818175
272,"Public",4492.05264863828
273,"Agriculture",4456.47980790798
274,"Finance",2689.93985749305
275,"Health",3050.73950503276
276,"Public",3819.21901170104
277,"Agriculture",6369.64491950801
278,"Finance",2770.65645044021
279,"Health",3700.86132614972
280,"Public",4671.62435137056
281,"Agriculture",4934.73289110698
282,"Finance",4533.58595712939
283,"Health",3645.65992142764
284,"Public",4525.62200804551
285,"Agriculture",4612.60743054579
286,"Finance",3994.41962334549
287,"Health",2297.02711244223
288,"Public",4180.80412554373
289,"Agriculture",5217.23193810684
290,"Finance",4385.31549121288
291,"Health",4100.2482955387
292,"Public",4334.69094320923
293,"Agriculture",6278.94455511373
294,"Finance",4504.03943420243
295,"Health",5568.15288080552
296,"Public",4213.38960354111
297,"Agriculture",5711.98299932711
298,"Finance",4163.66200647911
299,"Health",3591.55633019225
300,"Public",3510.03514738731
301,"Agriculture",2772.76709505501
302,"Finance",4363.17362581076
303,"Health",3783.40529967394
304,"Public",3331.36955045221
305,"Agriculture",6039.24442352096
306,"Finance",4438.21980234573
307,"Health",3259.65946865888
308,"Public",3581.1834431294
309,"Agriculture",5342.71103533615
310,"Finance",3110.20778376265
311,"Health",2875.37526559145
312,"Public",3553.25273155783
313,"Agriculture",6171.37594352563
314,"Finance",4825.58846984257
315,"Health",4417.22744641246
316,"Public",3400.58956925551
317,"Agriculture",7302.08656034657
318,"Finance",4555.11607255716
319,"Health",3711.47752904742
320,"Public",4046.43958273927
321,"Agriculture",6758.18188116623
322,"Finance",3345.31124342321
323,"Health",4469.10999128453
324,"Public",3371.93651566075
325,"Agriculture",6073.41111976842
326,"Finance",4417.92829650277
327,"Health",4048.63988505753
328,"Public",5782.39477197259
329,"Agriculture",5391.53760929855
330,"Finance",3396.36718827267
331,"Health",3649.17677836776
332,"Public",4812.17838022268
333,"Agriculture",5589.70350805459
334,"Finance",3804.79079602345
335,"Health",3888.83489672524
336,"Public",3367.92145392383
337,"Agriculture",7253.04243061186
338,"Finance",5754.30851825817
339,"Health",3386.18879338857
340,"Public",2975.78297547709
341,"Agriculture",6377.40531974302
342,"Finance",4456.5544425806
343,"Health",3297.18599213695
344,"Public",4737.38664676728
345,"Agriculture",6408.85774159112
346,"Finance",5917.63271767676
347,"Health",7093.3950753084
348,"Public",3921.88520635846
349,"Agriculture",6118.86863722436
350,"Finance",4047.94204655248
351,"Health",3136.90607805752
352,"Public",4104.18238556195
353,"Agriculture",6389.20299172426
354,"Finance",2914.072840215
355,"Health",3804.4538003516
356,"Public",1484.27331396754
357,"Agriculture",5613.61234356346
358,"Finance",4306.76453918605
359,"Health",4221.24660909818
360,"Public",3724.7163351996
361,"Agriculture",6911.10883255816
362,"Finance",2666.5102886296
363,"Health",4788.19903893706
364,"Public",4911.53735424243
365,"Agriculture",6340.05710773804
366,"Finance",5114.81043731866
367,"Health",3781.976563762
368,"Public",3228.7448838991
369,"Agriculture",6662.584187206
370,"Finance",4792.22536067859
371,"Health",4216.41673040914
372,"Public",5226.2090181214
373,"Agriculture",6680.67048270112
374,"Finance",3894.68121993503
375,"Health",4929.36599814017
376,"Public",3463.32988882808
377,"Agriculture",7674.53193664102
378,"Finance",3512.81131859561
379,"Health",3102.37915704181
380,"Public",3424.07597381443
381,"Agriculture",5981.29629022073
382,"Finance",4736.06694518672
383,"Health",3502.81474147416
384,"Public",4230.38855387011
385,"Agriculture",6852.23162552705
386,"Finance",4168.09064248767
387,"Health",2540.23355615288
388,"Public",3245.23889179391
389,"Agriculture",5115.98467391713
390,"Finance",4377.29829061247
391,"Health",4963.67391774154
392,"Public",2473.84234830772
393,"Agriculture",7221.37870317836
394,"Finance",3680.31966321169
395,"Health",4565.80677849351
396,"Public",3083.64585365843
397,"Agriculture",6369.47161626209
398,"Finance",3978.74129893496
399,"Health",4224.46795039055
400,"Public",3077.55796605139
401,"Agriculture",5737.51771696404
402,"Finance",5134.81386067868
403,"Health",3174.22652280259
404,"Public",5042.91500945657
405,"Agriculture",6264.59756247508
406,"Finance",5154.99673468066
407,"Health",5555.56201971689
408,"Public",3975.41023496731
409,"Agriculture",5653.88128694049
410,"Finance",4159.32501797061
411,"Health",3822.36870198719
412,"Public",4527.37260538355
413,"Agriculture",5855.16664572199
414,"Finance",3974.88501131224
415,"Health",4870.90425287939
416,"Public",3597.34686557054
417,"Agriculture",6974.89953016369
418,"Finance",3392.55620447919
419,"Health",3332.99176981834
420,"Public",4834.26346920603
421,"Agriculture",7313.79866916605
422,"Finance",5448.62046124972
423,"Health",5078.80784385444
424,"Public",4283.32354641345
425,"Agriculture",5854.58812011078
426,"Finance",4484.75354866093
427,"Health",1512.51664158136
428,"Public",4833.64966785753
429,"Agriculture",4688.27268951561
430,"Finance",2695.20409529395
431,"Health",3433.2322426771
432,"Public",4253.71175963825
433,"Agriculture",6026.56750840373
434,"Finance",2981.05188068715
435,"Health",3574.71114180972
436,"Public",3042.6648400471
437,"Agriculture",5945.36013464664
438,"Finance",3302.52409619061
439,"Health",4027.00895960761
440,"Public",3688.25389258837
441,"Agriculture",5997.64133887549
442,"Finance",4463.76220271092
443,"Health",3660.88240242803
444,"Public",6136.62212589055
445,"Agriculture",5761.22094940747
446,"Finance",4067.78567572519
447,"Health",5375.58236700229
448,"Public",2670.52478406794
449,"Agriculture",5888.98961037135
450,"Finance",2944.07680454417
451,"Health",3422.97184176853
452,"Public",3649.9993569258
453,"Agriculture",6278.13173376664
454,"Finance",4040.41388563846
455,"Health",2163.39589249837
456,"Public",5095.38703052389
457,"Agriculture",4130.42310249449
458,"Finance",3066.35155248183
459,"Health",2966.4545407479
460,"Public",2651.10808542962
461,"Agriculture",6220.76489418091
462,"Finance",4747.21580799162
463,"Health",4391.65200511646
464,"Public",5291.17020309017
465,"Agriculture",7005.53850951184
466,"Finance",4894.14574934155
467,"Health",2788.24389803536
468,"Public",4230.98417566167
469,"Agriculture",6218.48738834327
470,"Finance",2715.71587966026
471,"Health",3513.49317272715
472,"Public",5653.46511242034
473,"Agriculture",5923.18877079385
474,"Finance",2598.80549386092
475,"Health",4047.19614579798
476,"Public",4211.06520313883
477,"Agriculture",4914.91098280213
478,"Finance",4417.45996897191
479,"Health",3952.5099311681
480,"Public",4119.0403137609
481,"Agriculture",6327.31496432457
482,"Finance",4630.31056749876
483,"Health",4486.30369324672
484,"Public",5634.98650237476
485,"Agriculture",5807.41964380764
486,"Finance",5700.49534548573
487,"Health",3454.36729996323
488,"Public",4448.89333888235
489,"Agriculture",6742.23354238082
490,"Finance",2361.24737157843
491,"Health",2877.42273652651
492,"Public",4120.39850003732
493,"Agriculture",5744.87559790556
494,"Finance",3063.53224229447
495,"Health",3189.82147431799
496,"Public",3325.7896512378
497,"Agriculture",6850.99554256261
498,"Finance",3620.89171901013
499,"Health",4135.40811182238
500,"Public",5179.6621360082
